Thermo RheoWin  3/27/2019 / 1:03 PM

Société: EPFL Opérateur: admin
Date: 27.03.2019 Temps: 10:17:48 AM Version: HAAKE RheoWin 3.61.0005
Echantillon: Restylane Lidocaine ref 011341 N° Echant.: Lot 16541-1

Nr-Seg;t en s;t_seg en s;Tau en Pa;Om en 1/min;M en µNm;f en Hz;T en °C;Da en °;G" en Pa;G' en Pa;Ga en %;
1|1;5.608;0;0.637; ;1.00;0.20; ;10.8;150;782;0.0800;
1|2;24.02;18.42;0.697; ;1.09;0.20; ;10.5;146;783;0.0875;
1|3;42.41;36.80;0.763; ;1.20;0.20; ;10.4;145;786;0.0954;
1|4;60.82;55.21;0.835; ;1.31;0.20; ;10.5;145;787;0.10;
1|5;79.18;73.57;0.914; ;1.44;0.20; ;10.5;145;783;0.11;
1|6;97.34;91.74;1.000; ;1.57;0.20; ;10.4;143;781;0.13;
2|1;121.3;2.628;1.000; ;1.57;0.20; ;11.1;151;771;0.13;
2|2;139.5;20.79;0.914; ;1.44;0.20; ;10.4;144;785;0.11;
2|3;158.2;39.50;0.835; ;1.31;0.20; ;10.2;142;789;0.10;
2|4;176.3;57.58;0.763; ;1.20;0.20; ;10.3;143;789;0.0951;
2|5;194.7;76.01;0.697; ;1.09;0.20; ;10.3;143;790;0.0868;
2|6;213.2;94.48;0.637; ;1.00;0.20; ;10.2;144;798;0.0785;
3|1;231.7;0;0.637; ;1.00;0.20; ;10.2;143;792;0.0791;
3|2;250.1;18.38;0.672; ;1.06;0.20; ;10.2;143;795;0.0833;
3|3;268.5;36.81;0.710; ;1.12;0.20; ;10.2;144;795;0.0879;
3|4;286.9;55.22;0.750; ;1.18;0.20; ;10.2;143;792;0.0932;
3|5;305.2;73.55;0.792; ;1.24;0.20; ;10.1;142;793;0.0984;
3|6;323.7;92.04;0.837; ;1.31;0.20; ;10.3;145;795;0.10;
4|1;347.2;2.629;0.637; ;1.00;0.20; ;11.0;153;790;0.0791;
4|2;365.3;20.74;0.713; ;1.12;0.20; ;10.3;144;795;0.0882;
4|3;383.8;39.15;0.798; ;1.25;0.20; ;10.2;143;792;0.0991;
4|4;402.2;57.59;0.893; ;1.40;0.20; ;10.1;141;787;0.11;
4|5;420.6;76.00;1.000; ;1.57;0.20; ;10.2;140;780;0.13;
5|1;439.1;0;1.200; ;1.89;0.20; ;10.3;139;769;0.15;
5|2;457.6;18.48;1.441; ;2.26;0.20; ;10.3;138;763;0.19;
5|3;475.9;36.78;1.731; ;2.72;0.20; ;10.3;139;761;0.22;
5|4;494.2;55.10;2.079; ;3.27;0.20; ;10.4;137;751;0.27;
5|5;512.7;73.59;2.498; ;3.92;0.20; ;10.5;140;756;0.33;
5|6;531.1;91.95;3.000; ;4.71;0.20; ;10.6;142;757;0.39;
6|1;549.9;0;3.600; ;5.66;0.20; ;10.7;145;767;0.46;
6|2;567.9;18.02;4.416; ;6.94;0.20; ;11.0;148;764;0.57;
6|3;586.4;36.46;5.417; ;8.51;0.20; ;11.3;154;767;0.69;
6|4;604.6;54.72;6.645; ;10.4;0.20; ;11.7;158;763;0.85;
6|5;623.0;73.06;8.152; ;12.8;0.20; ;12.1;162;752;1.06;
6|6;641.5;91.56;10.00; ;15.7;0.20; ;12.8;169;746;1.31;
7|1;660.3;0;12.00; ;18.9;0.20; ;13.4;176;739;1.58;
7|2;678.5;18.21;14.41; ;22.6;0.20; ;14.2;184;729;1.92;
7|3;697.0;36.71;17.31; ;27.2;0.20; ;15.2;193;711;2.35;
7|4;715.1;54.89;20.79; ;32.7;0.20; ;16.1;204;707;2.83;
7|5;733.4;73.15;24.98; ;39.2;0.20; ;17.3;214;689;3.46;
7|6;751.7;91.44;30.00; ;47.1;0.20; ;18.5;222;665;4.28;
8|1;770.2;0;36.00; ;56.6;0.20; ;19.9;232;640;5.29;
8|2;788.6;18.38;44.16; ;69.4;0.20; ;21.7;239;601;6.82;
8|3;807.0;36.79;54.17; ;85.1;0.20; ;23.7;245;557;8.90;
8|4;825.4;55.23;66.45; ;104;0.20; ;25.8;245;507;11.8;
8|5;843.8;73.66;81.52; ;128;0.20; ;28.3;239;445;16.2;
8|6;862.3;92.13;100.00; ;157;0.20; ;30.8;220;370;23.2;
9|1;880.8;0;120.0; ;189;0.20; ;34.4;201;292;33.8;
9|2;899.3;18.46;144.1; ;226;0.20; ;40.0;165;196;56.3;
9|3;917.3;36.46;173.1; ;272;0.20; ;54.6;129;91.8;109;
9|4;935.7;54.91;207.9; ;327;0.20; ;72.2;82.1;26.3;241;
9|5;954.1;73.30;249.8; ;392;0.20; ;83.3;49.8;5.89;498;
9|6;972.4;91.55;300.0; ;471;0.20; ;89.2;37.2;0.54;806;
10|1;990.9;0;360.0; ;566;0.20; ;57.6;74.0;47.0;411;
